long;lat;locality;province;community;year;month;kingdom;class;family;genus;species;common_name
-1.856;37.237; Almeria; Almeria;Andalucia;2012;Oct;Animalia;Reptilia;Colubridae;Hemorrhois;Hemorrhois hippocrepis;Horseshoe Whip Snake
-2.256;36.797; Almeria; Almeria;Andalucia;2013;Apr;Animalia;Reptilia;Chamaeleonidae;Chamaeleo;Chamaeleo chamaeleon;Common Chameleon
-2.294;36.835; Almeria; Almeria;Andalucia;2017;Oct;Animalia;Reptilia;Chamaeleonidae;Chamaeleo;Chamaeleo chamaeleon;Common Chameleon
-2.286;36.82; Almeria; Almeria;Andalucia;2017;Oct;Animalia;Reptilia;Chamaeleonidae;Chamaeleo;Chamaeleo chamaeleon;Common Chameleon
-2.224;36.763; Almeria; Almeria;Andalucia;2017;Aug;Animalia;Reptilia;Chamaeleonidae;Chamaeleo;Chamaeleo chamaeleon;Common Chameleon
-2.222;36.759; Almeria; Almeria;Andalucia;2017;Oct;Animalia;Reptilia;Chamaeleonidae;Chamaeleo;Chamaeleo chamaeleon;Common Chameleon
-2.26;36.79; Almeria; Almeria;Andalucia;2019;May;Animalia;Reptilia;Chamaeleonidae;Chamaeleo;Chamaeleo chamaeleon;Common Chameleon
-2.253;36.799; Almeria; Almeria;Andalucia;2019;Apr;Animalia;Reptilia;Chamaeleonidae;Chamaeleo;Chamaeleo chamaeleon;Common Chameleon
-2.24;36.76; Almeria; Almeria;Andalucia;2019;Sep;Animalia;Reptilia;Chamaeleonidae;Chamaeleo;Chamaeleo chamaeleon;Common Chameleon
-2.232;36.768; Almeria; Almeria;Andalucia;2019;Sep;Animalia;Reptilia;Chamaeleonidae;Chamaeleo;Chamaeleo chamaeleon;Common Chameleon
-2.23;36.75; Almeria; Almeria;Andalucia;2019;Sep;Animalia;Reptilia;Chamaeleonidae;Chamaeleo;Chamaeleo chamaeleon;Common Chameleon
-6.059;39.925; Badajoz; Badajoz;Extremadura;2005;May;Animalia;Reptilia;Lacertidae;Timon;Timon lepidus;Ocellated Lizard
-6.987;39.238; Badajoz; Badajoz;Extremadura;2011;May;Animalia;Reptilia;Lacertidae;Timon;Timon lepidus;Ocellated Lizard
-3.589;42.055; Burgos; Burgos;Castilla-La Mancha;2007;Apr;Animalia;Reptilia;Lacertidae;Timon;Timon lepidus;Ocellated Lizard
-5.91;39.606; Caceres; Caceres;Extremadura;2013;Apr;Animalia;Reptilia;Lacertidae;Timon;Timon lepidus;Ocellated Lizard
-5.904;39.877; Caceres; Caceres;Extremadura;2013;May;Animalia;Reptilia;Lacertidae;Timon;Timon lepidus;Ocellated Lizard
-6.259;39.445; Caceres; Caceres;Extremadura;2014;May;Animalia;Reptilia;Lacertidae;Timon;Timon lepidus;Ocellated Lizard
-5.885;39.568; Caceres; Caceres;Extremadura;2014;May;Animalia;Reptilia;Lacertidae;Timon;Timon lepidus;Ocellated Lizard
-5.908;39.873; Caceres; Caceres;Extremadura;2015;May;Animalia;Reptilia;Lacertidae;Timon;Timon lepidus;Ocellated Lizard
-5.888;39.882; Caceres; Caceres;Extremadura;2015;Apr;Animalia;Reptilia;Lacertidae;Timon;Timon lepidus;Ocellated Lizard
