long,lat,locality,province,year,month,kingdom,class,family,genus,species,common_name,loc
-2.58,42.8,Aberasturi,Alava,2000,Jan,Animalia,Aves,Podicipedidae,Tachybaptus,Tachybaptus ruficollis,Zampullin comun,"{'type': 'Point', 'coordinates': (-2.58, 42.8)}"
-2.58,42.8,Aberasturi,Alava,2001,Jan,Animalia,Aves,Podicipedidae,Podiceps,Podiceps cristatus,Somormujo lavanco,"{'type': 'Point', 'coordinates': (-2.58, 42.8)}"
-2.58,42.8,Aberasturi,Alava,2001,Jan,Animalia,Aves,Podicipedidae,Tachybaptus,Tachybaptus ruficollis,Zampullin comun,"{'type': 'Point', 'coordinates': (-2.58, 42.8)}"
-2.58,42.8,Aberasturi,Alava,2002,Jan,Animalia,Aves,Podicipedidae,Tachybaptus,Tachybaptus ruficollis,Zampullin comun,"{'type': 'Point', 'coordinates': (-2.58, 42.8)}"
-2.58,42.8,Aberasturi,Alava,2003,Jan,Animalia,Aves,Podicipedidae,Podiceps,Podiceps cristatus,Somormujo lavanco,"{'type': 'Point', 'coordinates': (-2.58, 42.8)}"
-2.58,42.8,Aberasturi,Alava,2003,Jan,Animalia,Aves,Podicipedidae,Tachybaptus,Tachybaptus ruficollis,Zampullin comun,"{'type': 'Point', 'coordinates': (-2.58, 42.8)}"
-2.58,42.8,Aberasturi,Alava,2004,Jan,Animalia,Aves,Podicipedidae,Tachybaptus,Tachybaptus ruficollis,Zampullin comun,"{'type': 'Point', 'coordinates': (-2.58, 42.8)}"
-2.58,42.8,Aberasturi,Alava,2005,Jan,Animalia,Aves,Podicipedidae,Tachybaptus,Tachybaptus ruficollis,Zampullin comun,"{'type': 'Point', 'coordinates': (-2.58, 42.8)}"
-2.58,42.8,Aberasturi,Alava,2006,Jan,Animalia,Aves,Podicipedidae,Podiceps,Podiceps cristatus,Somormujo lavanco,"{'type': 'Point', 'coordinates': (-2.58, 42.8)}"
-2.58,42.8,Aberasturi,Alava,2006,Jan,Animalia,Aves,Podicipedidae,Tachybaptus,Tachybaptus ruficollis,Zampullin comun,"{'type': 'Point', 'coordinates': (-2.58, 42.8)}"
