min_temp;long;lat;max_temp;elevation;isothermality;mean_temp;precip;seasonal_temp;new;community
0.4;-5.6;41.9;28.9;704;39.3;12.3;38.7;615.6;41.9,-5.6;Castilla y Leon
0.4;-5.5;41.9;29.1;701;39.2;12.3;37.4;620.7;41.9,-5.5;Castilla y Leon
0.4;-5.4;41.9;29;698;39.4;12.3;35.4;618.3;41.9,-5.4;Castilla y Leon
0.2;-5.3;41.9;28.9;718;39.4;12.2;34.3;619.1;41.9,-5.3;Castilla y Leon
0.1;-5.2;41.9;28.8;739;39.4;12.1;34;620.6;41.9,-5.2;Castilla y Leon
0;-5.1;41.9;28.9;753;39.7;12;33.1;622.9;41.9,-5.1;Castilla y Leon
0;-5;41.9;28.9;762;39.9;11.9;32.1;623;41.9,-5.0;Castilla y Leon
-0.5;-4.9;41.9;29.2;829;39.4;11.7;33.2;636.3;41.9,-4.9;Castilla y Leon
-0.6;-4.8;41.9;29.3;847;39.3;11.6;32.8;641;41.9,-4.8;Castilla y Leon
-0.7;-4.7;41.9;29.4;851;39.4;11.6;32.8;645;41.9,-4.7;Castilla y Leon
-0.6;-4.6;41.9;29.5;830;39.5;11.7;33.7;645.2;41.9,-4.6;Castilla y Leon
-0.3;-4.5;41.9;29.7;747;39.7;12.1;34.3;639.5;41.9,-4.5;Castilla y Leon
-0.6;-4.4;41.9;29.3;827;39.6;11.7;33.8;642.7;41.9,-4.4;Castilla y Leon
-0.7;-4.3;41.9;29.2;851;39.7;11.6;33;643.4;41.9,-4.3;Castilla y Leon
-0.9;-4.2;41.9;29.1;887;39.5;11.4;32.5;646.1;41.9,-4.2;Castilla y Leon
-1;-4.1;41.9;28.9;913;39.3;11.2;32.5;647.4;41.9,-4.1;Castilla y Leon
-1.1;-4;41.9;29;927;39.8;11.2;31.7;649.6;41.9,-4.0;Castilla y Leon
-1;-3.9;41.9;29.2;914;39.7;11.2;30.2;652;41.9,-3.9;Castilla y Leon
-1.1;-3.8;41.9;29.2;928;39.8;11.2;29.4;652.2;41.9,-3.8;Castilla y Leon
-1.2;-3.7;41.9;28.9;941;39.9;11.1;28.5;647.9;41.9,-3.7;Castilla y Leon
-1.2;-3.6;41.9;28.6;950;39.9;11;27.9;645.3;41.9,-3.6;Castilla y Leon
-1.4;-3.5;41.9;28.5;993;39.7;10.9;27.9;647.2;41.9,-3.5;Castilla y Leon
-1.7;-3.4;41.9;27.4;1081;38.1;10.2;28;641.2;41.9,-3.4;Castilla y Leon
-2;-3.3;41.9;26.7;1117;38.2;9.8;27.8;633.1;41.9,-3.3;Castilla y Leon
-2.1;-3.2;41.9;26.8;1109;38.7;9.8;27.1;632.9;41.9,-3.2;Castilla y Leon
-2.1;-3.1;41.9;26.1;1137;37.9;9.5;27.5;623.8;41.9,-3.1;Castilla y Leon
-2.2;-3;41.9;25.4;1192;37.8;9.2;27.1;615.5;41.9,-3.0;Castilla y Leon
-2.5;-2.9;41.9;25;1213;38.4;8.9;27.1;607.6;41.9,-2.9;Castilla y Leon
-2.3;-2.8;41.9;25.1;1168;38.5;9.2;26.1;605.8;41.9,-2.8;Castilla y Leon
-2.2;-2.7;41.9;25.4;1140;38.6;9.3;26.1;608.9;41.9,-2.7;Castilla y Leon
-2.4;-2.6;41.9;26.2;1120;40;9.5;25.4;614.6;41.9,-2.6;Castilla y Leon
-2.6;-2.5;41.9;26.3;1152;39.9;9.4;25.6;619.6;41.9,-2.5;Castilla y Leon
-2.7;-2.4;41.9;27.8;1095;40.9;9.8;24.8;633.2;41.9,-2.4;Castilla y Leon
-3;-2.3;41.9;27.2;1189;40.6;9.3;25.5;630.9;41.9,-2.3;Castilla y Leon
-2.9;-2.2;41.9;26.7;1223;40.6;9.1;25.7;620.5;41.9,-2.2;Castilla y Leon
-2.2;-2.1;41.9;26.9;1111;40.7;9.6;26;612.2;41.9,-2.1;Castilla y Leon
-1.8;-2;41.9;27.6;1014;40.9;10.2;26.3;615.8;41.9,-2.0;Castilla y Leon
-0.7;-1.9;41.9;28.4;860;40.8;11.3;27.2;614.1;41.9,-1.9;Castilla y Leon
0.2;-1.8;41.9;28.7;704;40.3;12.1;27.4;610.2;41.9,-1.8;Navarra - Nafarroa
0.5;-1.7;41.9;29.3;596;40.3;12.7;27.3;617;41.9,-1.7;Aragon
0.5;-1.6;41.9;29.4;609;40.1;12.7;27.6;622.4;41.9,-1.6;Aragon
1.2;-1.5;41.9;29.8;482;39.5;13.4;27.3;622.6;41.9,-1.5;Aragon
2.1;-1.4;41.9;29.9;283;39.5;14.4;24.7;614.2;41.9,-1.4;Aragon
2.4;-1.3;41.9;29.8;239;39.3;14.5;24.6;611;41.9,-1.3;Aragon
2.2;-1.2;41.9;30.6;267;39.2;14.6;25.6;631.8;41.9,-1.2;Aragon
1.5;-1.1;41.9;30.8;439;38.8;14;26.5;651.1;41.9,-1.1;Aragon
1.3;-1;41.9;30.5;510;38.3;13.6;27;650.9;41.9,-1.0;Aragon
1.8;-0.9;41.9;31.1;434;37.8;14.1;26;659.5;41.9,-0.9;Aragon
2.2;-0.8;41.9;31.6;312;38.2;14.8;25.6;659.8;41.9,-0.8;Aragon
2;-0.7;41.9;32.1;360;37.7;14.8;26.5;677.3;41.9,-0.7;Aragon
1.7;-0.6;41.9;32;449;37;14.4;27.9;685.1;41.9,-0.6;Aragon
1.5;-0.5;41.9;31.7;521;36.5;14.1;28.1;687.3;41.9,-0.5;Aragon
2.1;-0.4;41.9;31.7;352;36.8;14.8;28.6;674.7;41.9,-0.4;Aragon
2.3;-0.3;41.9;31.6;309;36.9;15;28.8;671.9;41.9,-0.3;Aragon
2.1;-0.2;41.9;31.8;317;37;15;29;676.1;41.9,-0.2;Aragon
1.9;-0.1;41.9;31.6;339;37.2;14.9;28.5;676.3;41.9,-0.1;Aragon
1.4;0;41.9;32.3;431;37;14.6;28;700.5;41.9,-0.0;Aragon
1.9;0.1;41.9;31.6;258;37.8;15;28.5;672.3;41.9,0.1;Aragon
1.6;0.2;41.9;31.8;303;37.5;14.8;29;682.3;41.9,0.2;Aragon
1.3;0.3;41.9;32;336;37.5;14.6;28.6;688.8;41.9,0.3;Aragon
1;0.4;41.9;32;381;37.2;14.3;27.9;693.5;41.9,0.4;Aragon
0.6;0.5;41.9;31.9;420;37.6;14;27.2;693.3;41.9,0.5;Aragon
0.4;0.6;41.9;30.5;512;37;13.4;26.6;676;41.9,0.6;Cataluna
0;0.7;41.9;30.2;553;37.7;13.1;26.2;670.9;41.9,0.7;Cataluna
0.1;0.8;41.9;30.1;515;37.9;13.2;26.2;667.9;41.9,0.8;Cataluna
0.6;0.9;41.9;29.9;415;37.6;13.5;26.2;660.7;41.9,0.9;Cataluna
0.4;1;41.9;29.8;451;37.8;13.3;25.9;660.4;41.9,1.0;Cataluna
0.3;1.1;41.9;29.6;463;37.9;13.2;25.5;655;41.9,1.1;Cataluna
0.4;1.2;41.9;29.5;432;38.3;13.3;26;649.2;41.9,1.2;Cataluna
0.3;1.3;41.9;29.1;469;38.2;13.1;26.3;643.5;41.9,1.3;Cataluna
-0.1;1.4;41.9;28.2;594;37.8;12.5;25.6;634.7;41.9,1.4;Cataluna
-0.4;1.5;41.9;27.6;689;37.6;11.9;24.8;624.6;41.9,1.5;Cataluna
0.3;1.6;41.9;27.8;598;37.8;12.5;27.1;613.4;41.9,1.6;Cataluna
1;1.7;41.9;27.7;457;37.2;13.1;27;604;41.9,1.7;Cataluna
0.9;1.8;41.9;27.6;493;37.6;13;26.9;601.6;41.9,1.8;Cataluna
1.2;1.9;41.9;28.1;397;37.7;13.5;27.2;604.4;41.9,1.9;Cataluna
1.1;2;41.9;27.7;444;37.3;13.2;26.7;601.4;41.9,2.0;Cataluna
-0.2;2.1;41.9;25.6;828;36.4;11.3;23.7;589.9;41.9,2.1;Cataluna
0.1;2.2;41.9;26.8;665;37.2;12.1;23.6;599.5;41.9,2.2;Cataluna
0.1;2.3;41.9;27.2;632;37.3;12.3;22.7;605.2;41.9,2.3;Cataluna
0;2.4;41.9;25.7;741;36.4;11.6;21.6;586.2;41.9,2.4;Cataluna
-0.1;2.5;41.9;24.7;858;35.6;11;20.2;574.3;41.9,2.5;Cataluna
1.5;2.6;41.9;27.1;381;38.4;13.3;21.7;567.3;41.9,2.6;Cataluna
1.4;2.7;41.9;28.6;144;40.3;14.2;22.6;581.1;41.9,2.7;Cataluna
1.5;2.8;41.9;29.1;115;40.5;14.4;23.1;587.9;41.9,2.8;Cataluna
1.8;2.9;41.9;28.6;147;39.7;14.3;23.8;580;41.9,2.9;Cataluna
2.2;3;41.9;27.3;256;38.1;13.9;24.9;561.4;41.9,3.0;Cataluna
3.6;3.1;41.9;27.6;96;37.4;14.8;31.4;547.6;41.9,3.1;Cataluna
4;3.2;41.9;27.6;64;36.8;15;33.9;544.4;41.9,3.2;Cataluna
14.7;-18;27.6;28.4;121;54.9;20.9;87.2;235.1;27.6,-18.0;Islas Canarias
5.2;-8.8;41.8;23.7;230;43.1;13.5;51.8;393.1;41.8,-8.8;Asturias
