FID,POINTID,GRID_CODE,lon,lat
0,1,1113,-7.8750000,-7.8750000
1,2,1063,-7.7083302,-7.7083302
2,3,1078,-8.0416698,-8.0416698
3,4,1228,-7.9583302,-7.9583302
4,5,1085,-7.8750000,-7.8750000
5,6,1091,-7.7916698,-7.7916698
6,7,1123,-7.7083302,-7.7083302
7,8,1112,-7.6250000,-7.6250000
8,9,1103,-7.5416698,-7.5416698
9,10,1073,-7.4583302,-7.4583302
10,11,1070,-7.3750000,-7.3750000
11,12,999,-8.2083302,-8.2083302
12,13,1071,-8.1250000,-8.1250000
13,14,1116,-8.0416698,-8.0416698
14,15,1174,-7.9583302,-7.9583302
15,16,1132,-7.8750000,-7.8750000
16,17,1219,-7.7916698,-7.7916698
17,18,1243,-7.7083302,-7.7083302
18,19,1157,-7.6250000,-7.6250000
19,20,1234,-7.5416698,-7.5416698
20,21,1222,-7.4583302,-7.4583302
21,22,1151,-7.3750000,-7.3750000
22,23,1086,-7.2916698,-7.2916698
23,24,987,-6.2083302,-6.2083302
24,25,964,-5.9583302,-5.9583302
25,26,971,-5.8750000,-5.8750000
26,27,969,-5.7916698,-5.7916698
27,28,1030,-8.2916698,-8.2916698
28,29,1038,-8.2083302,-8.2083302
29,30,1100,-8.1250000,-8.1250000
30,31,1146,-8.0416698,-8.0416698
31,32,1196,-7.9583302,-7.9583302
32,33,1287,-7.8750000,-7.8750000
33,34,1340,-7.7916698,-7.7916698
34,35,1324,-7.7083302,-7.7083302
35,36,1275,-7.6250000,-7.6250000
36,37,1348,-7.5416698,-7.5416698
37,38,1200,-7.4583302,-7.4583302
38,39,1140,-7.3750000,-7.3750000
39,40,1124,-7.2916698,-7.2916698
40,41,1124,-7.2083302,-7.2083302
41,42,1115,-7.1250000,-7.1250000
42,43,1067,-7.0416698,-7.0416698
43,44,1071,-6.9583302,-6.9583302
44,45,1065,-6.8750000,-6.8750000
45,46,1076,-6.7916698,-6.7916698
46,47,1043,-6.7083302,-6.7083302
47,48,1072,-6.6250000,-6.6250000
48,49,1042,-6.5416698,-6.5416698
49,50,1040,-6.4583302,-6.4583302
50,51,1061,-6.3750000,-6.3750000
51,52,1060,-6.2916698,-6.2916698
52,53,1036,-6.2083302,-6.2083302
53,54,1013,-6.1250000,-6.1250000
54,55,996,-6.0416698,-6.0416698
55,56,986,-5.9583302,-5.9583302
56,57,983,-5.8750000,-5.8750000
57,58,980,-5.7916698,-5.7916698
58,59,969,-5.7083302,-5.7083302
59,60,962,-5.6250000,-5.6250000
60,61,955,-5.5416698,-5.5416698
61,62,942,-5.4583302,-5.4583302
62,63,917,-5.3750000,-5.3750000
63,64,911,-5.2916698,-5.2916698
64,65,1198,-3.6250000,-3.6250000
65,66,1202,-3.5416701,-3.5416701
66,67,1235,-1.5416700,-1.5416700
67,68,1245,-1.4583300,-1.4583300
68,69,1253,-1.3750000,-1.3750000
69,70,1253,-1.2916700,-1.2916700
70,71,1262,-1.2083300,-1.2083300
71,72,1273,-1.1250000,-1.1250000
72,73,1270,-1.0416700,-1.0416700
73,74,1262,-0.9583330,-0.9583330
74,75,1260,-0.8750000,-0.8750000
75,76,1270,-0.7916670,-0.7916670
76,77,1288,-0.7083330,-0.7083330
77,78,1316,-0.6250000,-0.6250000
78,79,1354,-0.5416670,-0.5416670
79,80,1393,-0.4583330,-0.4583330
80,81,1411,-0.3750000,-0.3750000
81,82,1414,-0.2916670,-0.2916670
82,83,1430,-0.2083330,-0.2083330
83,84,1401,-0.1250000,-0.1250000
84,85,1373,-0.0416667,-0.0416667
85,86,1340,0.0416667,0.0416667
86,87,1297,0.1250000,0.1250000
87,88,1251,0.2083330,0.2083330
88,89,1209,0.2916670,0.2916670
89,90,1162,0.3750000,0.3750000
90,91,1120,0.4583330,0.4583330
91,92,1076,0.5416670,0.5416670
92,93,1042,0.6250000,0.6250000
93,94,1006,0.7083330,0.7083330
94,95,961,0.7916670,0.7916670
95,96,926,0.8750000,0.8750000
96,97,882,0.9583330,0.9583330
97,98,847,1.0416700,1.0416700
98,99,830,1.1250000,1.1250000
99,100,767,1.2083300,1.2083300
100,101,721,1.2916700,1.2916700
101,102,694,1.3750000,1.3750000
102,103,700,1.4583300,1.4583300
103,104,699,1.5416700,1.5416700
104,105,719,1.6250000,1.6250000
105,106,740,1.7083300,1.7083300
106,107,748,1.7916700,1.7916700
107,108,764,1.8750000,1.8750000
108,109,766,1.9583300,1.9583300
109,110,766,2.0416701,2.0416701
110,111,749,2.1250000,2.1250000
111,112,752,2.2083299,2.2083299
112,113,747,2.2916701,2.2916701
113,114,773,2.3750000,2.3750000
114,115,871,2.4583299,2.4583299
115,116,923,2.5416701,2.5416701
116,117,957,2.6250000,2.6250000
117,118,979,2.7083299,2.7083299
118,119,890,2.7916701,2.7916701
119,120,743,2.8750000,2.8750000
120,121,682,2.9583299,2.9583299
121,122,991,-8.3750000,-8.3750000
122,123,1045,-8.2916698,-8.2916698
123,124,1055,-8.2083302,-8.2083302
124,125,1191,-8.1250000,-8.1250000
125,126,1308,-8.0416698,-8.0416698
126,127,1349,-7.9583302,-7.9583302
127,128,1307,-7.8750000,-7.8750000
128,129,1362,-7.7916698,-7.7916698
129,130,1420,-7.7083302,-7.7083302
130,131,1449,-7.6250000,-7.6250000
131,132,1456,-7.5416698,-7.5416698
132,133,1343,-7.4583302,-7.4583302
133,134,1229,-7.3750000,-7.3750000
134,135,1167,-7.2916698,-7.2916698
135,136,1208,-7.2083302,-7.2083302
136,137,1134,-7.1250000,-7.1250000
137,138,1124,-7.0416698,-7.0416698
138,139,1176,-6.9583302,-6.9583302
139,140,1190,-6.8750000,-6.8750000
140,141,1181,-6.7916698,-6.7916698
141,142,1105,-6.7083302,-6.7083302
142,143,1179,-6.6250000,-6.6250000
143,144,1114,-6.5416698,-6.5416698
144,145,1077,-6.4583302,-6.4583302
145,146,1090,-6.3750000,-6.3750000
146,147,1123,-6.2916698,-6.2916698
147,148,1046,-6.2083302,-6.2083302
148,149,1001,-6.1250000,-6.1250000
149,150,1018,-6.0416698,-6.0416698
150,151,1013,-5.9583302,-5.9583302
151,152,986,-5.8750000,-5.8750000
152,153,974,-5.7916698,-5.7916698
153,154,971,-5.7083302,-5.7083302
154,155,979,-5.6250000,-5.6250000
155,156,969,-5.5416698,-5.5416698
156,157,935,-5.4583302,-5.4583302
157,158,930,-5.3750000,-5.3750000
158,159,927,-5.2916698,-5.2916698
159,160,924,-5.2083302,-5.2083302
160,161,887,-5.1250000,-5.1250000
161,162,878,-5.0416698,-5.0416698
162,163,872,-4.9583302,-4.9583302
163,164,856,-4.8750000,-4.8750000
164,165,851,-4.7916698,-4.7916698
165,166,1004,-4.1250000,-4.1250000
166,167,1041,-4.0416698,-4.0416698
167,168,1104,-3.9583299,-3.9583299
168,169,1159,-3.8750000,-3.8750000
169,170,1190,-3.7916701,-3.7916701
170,171,1189,-3.7083299,-3.7083299
171,172,1201,-3.6250000,-3.6250000
172,173,1188,-3.5416701,-3.5416701
173,174,1182,-3.4583299,-3.4583299
174,175,1223,-2.9583299,-2.9583299
175,176,1229,-2.8750000,-2.8750000
176,177,1235,-2.7916701,-2.7916701
177,178,1201,-2.7083299,-2.7083299
178,179,1228,-1.6250000,-1.6250000
179,180,1240,-1.5416700,-1.5416700
180,181,1239,-1.4583300,-1.4583300
181,182,1247,-1.3750000,-1.3750000
182,183,1245,-1.2916700,-1.2916700
183,184,1255,-1.2083300,-1.2083300
184,185,1255,-1.1250000,-1.1250000
185,186,1254,-1.0416700,-1.0416700
186,187,1259,-0.9583330,-0.9583330
187,188,1264,-0.8750000,-0.8750000
188,189,1281,-0.7916670,-0.7916670
189,190,1308,-0.7083330,-0.7083330
190,191,1349,-0.6250000,-0.6250000
191,192,1388,-0.5416670,-0.5416670
192,193,1433,-0.4583330,-0.4583330
193,194,1427,-0.3750000,-0.3750000
194,195,1433,-0.2916670,-0.2916670
195,196,1413,-0.2083330,-0.2083330
196,197,1403,-0.1250000,-0.1250000
197,198,1370,-0.0416667,-0.0416667
198,199,1360,0.0416667,0.0416667
199,200,1319,0.1250000,0.1250000
200,201,1273,0.2083330,0.2083330
201,202,1229,0.2916670,0.2916670
202,203,1182,0.3750000,0.3750000
203,204,1139,0.4583330,0.4583330
204,205,1096,0.5416670,0.5416670
205,206,1058,0.6250000,0.6250000
206,207,1025,0.7083330,0.7083330
207,208,989,0.7916670,0.7916670
208,209,940,0.8750000,0.8750000
209,210,902,0.9583330,0.9583330
210,211,885,1.0416700,1.0416700
211,212,850,1.1250000,1.1250000
212,213,793,1.2083300,1.2083300
213,214,749,1.2916700,1.2916700
214,215,725,1.3750000,1.3750000
215,216,729,1.4583300,1.4583300
216,217,728,1.5416700,1.5416700
217,218,729,1.6250000,1.6250000
218,219,745,1.7083300,1.7083300
219,220,766,1.7916700,1.7916700
220,221,782,1.8750000,1.8750000
221,222,774,1.9583300,1.9583300
222,223,811,2.0416701,2.0416701
223,224,868,2.1250000,2.1250000
224,225,925,2.2083299,2.2083299
225,226,949,2.2916701,2.2916701
226,227,889,2.3750000,2.3750000
227,228,929,2.4583299,2.4583299
228,229,869,2.5416701,2.5416701
229,230,878,2.6250000,2.6250000
230,231,808,2.7083299,2.7083299
231,232,780,2.7916701,2.7916701
232,233,751,2.8750000,2.8750000
233,234,647,2.9583299,2.9583299
234,235,967,-8.8750000,-8.8750000
235,236,957,-8.7916698,-8.7916698
236,237,1037,-8.4583302,-8.4583302
237,238,1021,-8.3750000,-8.3750000
238,239,1080,-8.2916698,-8.2916698
239,240,1117,-8.2083302,-8.2083302
240,241,1241,-8.1250000,-8.1250000
241,242,1350,-8.0416698,-8.0416698
242,243,1371,-7.9583302,-7.9583302
243,244,1404,-7.8750000,-7.8750000
244,245,1370,-7.7916698,-7.7916698
245,246,1378,-7.7083302,-7.7083302
246,247,1372,-7.6250000,-7.6250000
247,248,1412,-7.5416698,-7.5416698
248,249,1373,-7.4583302,-7.4583302
249,250,1342,-7.3750000,-7.3750000
250,251,1282,-7.2916698,-7.2916698
251,252,1215,-7.2083302,-7.2083302
252,253,1207,-7.1250000,-7.1250000
253,254,1273,-7.0416698,-7.0416698
254,255,1314,-6.9583302,-6.9583302
255,256,1246,-6.8750000,-6.8750000
256,257,1173,-6.7916698,-6.7916698
257,258,1178,-6.7083302,-6.7083302
258,259,1194,-6.6250000,-6.6250000
259,260,1106,-6.5416698,-6.5416698
260,261,1136,-6.4583302,-6.4583302
261,262,1158,-6.3750000,-6.3750000
262,263,1081,-6.2916698,-6.2916698
263,264,1027,-6.2083302,-6.2083302
264,265,1008,-6.1250000,-6.1250000
265,266,980,-6.0416698,-6.0416698
266,267,967,-5.9583302,-5.9583302
267,268,975,-5.8750000,-5.8750000
268,269,958,-5.7916698,-5.7916698
269,270,947,-5.7083302,-5.7083302
270,271,940,-5.6250000,-5.6250000
271,272,931,-5.5416698,-5.5416698
272,273,919,-5.4583302,-5.4583302
273,274,906,-5.3750000,-5.3750000
274,275,898,-5.2916698,-5.2916698
275,276,869,-5.2083302,-5.2083302
276,277,858,-5.1250000,-5.1250000
277,278,877,-5.0416698,-5.0416698
278,279,883,-4.9583302,-4.9583302
279,280,894,-4.8750000,-4.8750000
280,281,929,-4.7916698,-4.7916698
281,282,901,-4.7083302,-4.7083302
282,283,882,-4.6250000,-4.6250000
283,284,863,-4.5416698,-4.5416698
284,285,869,-4.4583302,-4.4583302
285,286,886,-4.3750000,-4.3750000
286,287,913,-4.2916698,-4.2916698
287,288,945,-4.2083302,-4.2083302
288,289,983,-4.1250000,-4.1250000
289,290,1022,-4.0416698,-4.0416698
290,291,1077,-3.9583299,-3.9583299
291,292,1120,-3.8750000,-3.8750000
292,293,1148,-3.7916701,-3.7916701
293,294,1162,-3.7083299,-3.7083299
294,295,1169,-3.6250000,-3.6250000
295,296,1169,-3.5416701,-3.5416701
296,297,1156,-3.4583299,-3.4583299
297,298,1172,-3.3750000,-3.3750000
298,299,1178,-3.2916701,-3.2916701
299,300,1170,-3.2083299,-3.2083299
300,301,1168,-3.1250000,-3.1250000
301,302,1183,-3.0416701,-3.0416701
302,303,1208,-2.9583299,-2.9583299
303,304,1221,-2.8750000,-2.8750000
304,305,1229,-2.7916701,-2.7916701
305,306,1208,-2.7083299,-2.7083299
306,307,1208,-2.6250000,-2.6250000
307,308,1198,-2.5416701,-2.5416701
308,309,1176,-2.4583299,-2.4583299
309,310,1375,-1.8750000,-1.8750000
310,311,1267,-1.7916700,-1.7916700
311,312,1256,-1.7083300,-1.7083300
312,313,1237,-1.6250000,-1.6250000
313,314,1238,-1.5416700,-1.5416700
314,315,1233,-1.4583300,-1.4583300
315,316,1247,-1.3750000,-1.3750000
316,317,1240,-1.2916700,-1.2916700
317,318,1237,-1.2083300,-1.2083300
318,319,1230,-1.1250000,-1.1250000
319,320,1230,-1.0416700,-1.0416700
320,321,1240,-0.9583330,-0.9583330
321,322,1250,-0.8750000,-0.8750000
322,323,1270,-0.7916670,-0.7916670
323,324,1293,-0.7083330,-0.7083330
324,325,1346,-0.6250000,-0.6250000
325,326,1391,-0.5416670,-0.5416670
326,327,1423,-0.4583330,-0.4583330
327,328,1437,-0.3750000,-0.3750000
328,329,1394,-0.2916670,-0.2916670
329,330,1355,-0.2083330,-0.2083330
330,331,1331,-0.1250000,-0.1250000
331,332,1318,-0.0416667,-0.0416667
332,333,1329,0.0416667,0.0416667
333,334,1314,0.1250000,0.1250000
334,335,1276,0.2083330,0.2083330
335,336,1233,0.2916670,0.2916670
336,337,1188,0.3750000,0.3750000
337,338,1147,0.4583330,0.4583330
338,339,1107,0.5416670,0.5416670
339,340,1074,0.6250000,0.6250000
340,341,1037,0.7083330,0.7083330
341,342,995,0.7916670,0.7916670
342,343,969,0.8750000,0.8750000
343,344,940,0.9583330,0.9583330
344,345,914,1.0416700,1.0416700
345,346,866,1.1250000,1.1250000
346,347,817,1.2083300,1.2083300
347,348,782,1.2916700,1.2916700
348,349,771,1.3750000,1.3750000
349,350,744,1.4583300,1.4583300
350,351,751,1.5416700,1.5416700
351,352,750,1.6250000,1.6250000
352,353,750,1.7083300,1.7083300
353,354,765,1.7916700,1.7916700
354,355,764,1.8750000,1.8750000
355,356,782,1.9583300,1.9583300
356,357,833,2.0416701,2.0416701
357,358,864,2.1250000,2.1250000
358,359,885,2.2083299,2.2083299
359,360,878,2.2916701,2.2916701
360,361,852,2.3750000,2.3750000
361,362,863,2.4583299,2.4583299
362,363,824,2.5416701,2.5416701
363,364,770,2.6250000,2.6250000
364,365,730,2.7083299,2.7083299
365,366,678,2.7916701,2.7916701
366,367,644,2.8750000,2.8750000
367,368,618,2.9583299,2.9583299
368,369,606,3.0416701,3.0416701
369,370,584,3.1250000,3.1250000
370,371,589,3.2083299,3.2083299
371,372,587,3.2916701,3.2916701
372,373,584,3.3750000,3.3750000
373,374,579,3.4583299,3.4583299
374,375,580,3.5416701,3.5416701
375,376,577,3.6250000,3.6250000
376,377,989,-8.9583302,-8.9583302
377,378,1002,-8.8750000,-8.8750000
378,379,1059,-8.7916698,-8.7916698
379,380,1132,-8.7083302,-8.7083302
380,381,1131,-8.6250000,-8.6250000
381,382,1164,-8.5416698,-8.5416698
382,383,1164,-8.4583302,-8.4583302
383,384,1124,-8.3750000,-8.3750000
384,385,1145,-8.2916698,-8.2916698
385,386,1179,-8.2083302,-8.2083302
386,387,1308,-8.1250000,-8.1250000
387,388,1405,-8.0416698,-8.0416698
388,389,1475,-7.9583302,-7.9583302
389,390,1446,-7.8750000,-7.8750000
390,391,1403,-7.7916698,-7.7916698
391,392,1376,-7.7083302,-7.7083302
392,393,1363,-7.6250000,-7.6250000
393,394,1330,-7.5416698,-7.5416698
394,395,1344,-7.4583302,-7.4583302
395,396,1326,-7.3750000,-7.3750000
396,397,1312,-7.2916698,-7.2916698
397,398,1240,-7.2083302,-7.2083302
398,399,1315,-7.1250000,-7.1250000
399,400,1316,-7.0416698,-7.0416698
400,401,1275,-6.9583302,-6.9583302
401,402,1186,-6.8750000,-6.8750000
402,403,1197,-6.7916698,-6.7916698
403,404,1256,-6.7083302,-6.7083302
404,405,1233,-6.6250000,-6.6250000
405,406,1130,-6.5416698,-6.5416698
406,407,1088,-6.4583302,-6.4583302
407,408,1073,-6.3750000,-6.3750000
408,409,1096,-6.2916698,-6.2916698
409,410,1052,-6.2083302,-6.2083302
410,411,1048,-6.1250000,-6.1250000
411,412,1031,-6.0416698,-6.0416698
412,413,995,-5.9583302,-5.9583302
413,414,958,-5.8750000,-5.8750000
414,415,942,-5.7916698,-5.7916698
415,416,928,-5.7083302,-5.7083302
416,417,921,-5.6250000,-5.6250000
417,418,929,-5.5416698,-5.5416698
418,419,929,-5.4583302,-5.4583302
419,420,897,-5.3750000,-5.3750000
420,421,916,-5.2916698,-5.2916698
421,422,883,-5.2083302,-5.2083302
422,423,853,-5.1250000,-5.1250000
423,424,890,-5.0416698,-5.0416698
424,425,930,-4.9583302,-4.9583302
425,426,921,-4.8750000,-4.8750000
426,427,875,-4.7916698,-4.7916698
427,428,903,-4.7083302,-4.7083302
428,429,869,-4.6250000,-4.6250000
429,430,890,-4.5416698,-4.5416698
430,431,876,-4.4583302,-4.4583302
431,432,902,-4.3750000,-4.3750000
432,433,913,-4.2916698,-4.2916698
433,434,928,-4.2083302,-4.2083302
434,435,957,-4.1250000,-4.1250000
435,436,985,-4.0416698,-4.0416698
436,437,1024,-3.9583299,-3.9583299
437,438,1055,-3.8750000,-3.8750000
438,439,1071,-3.7916701,-3.7916701
439,440,1084,-3.7083299,-3.7083299
440,441,1102,-3.6250000,-3.6250000
441,442,1116,-3.5416701,-3.5416701
442,443,1121,-3.4583299,-3.4583299
443,444,1132,-3.3750000,-3.3750000
444,445,1141,-3.2916701,-3.2916701
445,446,1149,-3.2083299,-3.2083299
446,447,1157,-3.1250000,-3.1250000
447,448,1174,-3.0416701,-3.0416701
448,449,1187,-2.9583299,-2.9583299
449,450,1193,-2.8750000,-2.8750000
450,451,1182,-2.7916701,-2.7916701
451,452,1172,-2.7083299,-2.7083299
452,453,1185,-2.6250000,-2.6250000
453,454,1207,-2.5416701,-2.5416701
454,455,1201,-2.4583299,-2.4583299
455,456,1222,-2.3750000,-2.3750000
456,457,1215,-2.2916701,-2.2916701
457,458,1252,-2.2083299,-2.2083299
458,459,1280,-2.1250000,-2.1250000
459,460,1328,-2.0416701,-2.0416701
460,461,1297,-1.9583300,-1.9583300
461,462,1331,-1.8750000,-1.8750000
462,463,1345,-1.7916700,-1.7916700
463,464,1301,-1.7083300,-1.7083300
464,465,1289,-1.6250000,-1.6250000
465,466,1239,-1.5416700,-1.5416700
466,467,1252,-1.4583300,-1.4583300
467,468,1224,-1.3750000,-1.3750000
468,469,1219,-1.2916700,-1.2916700
469,470,1206,-1.2083300,-1.2083300
470,471,1201,-1.1250000,-1.1250000
471,472,1200,-1.0416700,-1.0416700
472,473,1208,-0.9583330,-0.9583330
473,474,1221,-0.8750000,-0.8750000
474,475,1241,-0.7916670,-0.7916670
475,476,1263,-0.7083330,-0.7083330
476,477,1281,-0.6250000,-0.6250000
477,478,1321,-0.5416670,-0.5416670
478,479,1352,-0.4583330,-0.4583330
479,480,1382,-0.3750000,-0.3750000
480,481,1373,-0.2916670,-0.2916670
481,482,1299,-0.2083330,-0.2083330
482,483,1227,-0.1250000,-0.1250000
483,484,1216,-0.0416667,-0.0416667
484,485,1267,0.0416667,0.0416667
485,486,1277,0.1250000,0.1250000
486,487,1266,0.2083330,0.2083330
487,488,1220,0.2916670,0.2916670
488,489,1185,0.3750000,0.3750000
489,490,1149,0.4583330,0.4583330
490,491,1115,0.5416670,0.5416670
491,492,1081,0.6250000,0.6250000
492,493,1045,0.7083330,0.7083330
493,494,1024,0.7916670,0.7916670
494,495,999,0.8750000,0.8750000
495,496,962,0.9583330,0.9583330
496,497,933,1.0416700,1.0416700
497,498,874,1.1250000,1.1250000
498,499,838,1.2083300,1.2083300
499,500,824,1.2916700,1.2916700
500,501,801,1.3750000,1.3750000
501,502,780,1.4583300,1.4583300
502,503,762,1.5416700,1.5416700
503,504,764,1.6250000,1.6250000
504,505,775,1.7083300,1.7083300
505,506,778,1.7916700,1.7916700
506,507,783,1.8750000,1.8750000
507,508,762,1.9583300,1.9583300
508,509,748,2.0416701,2.0416701
509,510,749,2.1250000,2.1250000
510,511,746,2.2083299,2.2083299
511,512,736,2.2916701,2.2916701
512,513,714,2.3750000,2.3750000
513,514,696,2.4583299,2.4583299
514,515,661,2.5416701,2.5416701
515,516,643,2.6250000,2.6250000
516,517,616,2.7083299,2.7083299
517,518,617,2.7916701,2.7916701
518,519,594,2.8750000,2.8750000
519,520,578,2.9583299,2.9583299
520,521,567,3.0416701,3.0416701
521,522,571,3.1250000,3.1250000
522,523,573,3.2083299,3.2083299
523,524,571,3.2916701,3.2916701
524,525,572,3.3750000,3.3750000
525,526,573,3.4583299,3.4583299
526,527,573,3.5416701,3.5416701
527,528,870,-9.2083302,-9.2083302
528,529,922,-9.1250000,-9.1250000
529,530,980,-9.0416698,-9.0416698
530,531,1061,-8.9583302,-8.9583302
531,532,1092,-8.8750000,-8.8750000
532,533,1136,-8.7916698,-8.7916698
533,534,1168,-8.7083302,-8.7083302
534,535,1261,-8.6250000,-8.6250000
535,536,1437,-8.5416698,-8.5416698
536,537,1426,-8.4583302,-8.4583302
537,538,1371,-8.3750000,-8.3750000
538,539,1303,-8.2916698,-8.2916698
539,540,1333,-8.2083302,-8.2083302
540,541,1448,-8.1250000,-8.1250000
541,542,1485,-8.0416698,-8.0416698
542,543,1505,-7.9583302,-7.9583302
543,544,1474,-7.8750000,-7.8750000
544,545,1454,-7.7916698,-7.7916698
545,546,1400,-7.7083302,-7.7083302
546,547,1386,-7.6250000,-7.6250000
547,548,1350,-7.5416698,-7.5416698
548,549,1331,-7.4583302,-7.4583302
549,550,1330,-7.3750000,-7.3750000
550,551,1337,-7.2916698,-7.2916698
551,552,1303,-7.2083302,-7.2083302
552,553,1306,-7.1250000,-7.1250000
553,554,1298,-7.0416698,-7.0416698
554,555,1239,-6.9583302,-6.9583302
555,556,1186,-6.8750000,-6.8750000
556,557,1238,-6.7916698,-6.7916698
557,558,1279,-6.7083302,-6.7083302
558,559,1174,-6.6250000,-6.6250000
559,560,1116,-6.5416698,-6.5416698
560,561,1108,-6.4583302,-6.4583302
561,562,1181,-6.3750000,-6.3750000
562,563,1137,-6.2916698,-6.2916698
563,564,1143,-6.2083302,-6.2083302
564,565,1124,-6.1250000,-6.1250000
565,566,1029,-6.0416698,-6.0416698
566,567,1145,-5.9583302,-5.9583302
567,568,1014,-5.8750000,-5.8750000
568,569,923,-5.7916698,-5.7916698
569,570,938,-5.7083302,-5.7083302
570,571,927,-5.6250000,-5.6250000
571,572,903,-5.5416698,-5.5416698
572,573,896,-5.4583302,-5.4583302
573,574,885,-5.3750000,-5.3750000
574,575,977,-5.2916698,-5.2916698
575,576,921,-5.2083302,-5.2083302
576,577,882,-5.1250000,-5.1250000
577,578,984,-5.0416698,-5.0416698
578,579,1250,-4.9583302,-4.9583302
579,580,1121,-4.8750000,-4.8750000
580,581,1156,-4.7916698,-4.7916698
581,582,1105,-4.7083302,-4.7083302
582,583,853,-4.6250000,-4.6250000
583,584,901,-4.5416698,-4.5416698
584,585,883,-4.4583302,-4.4583302
585,586,868,-4.3750000,-4.3750000
586,587,873,-4.2916698,-4.2916698
587,588,901,-4.2083302,-4.2083302
588,589,912,-4.1250000,-4.1250000
589,590,929,-4.0416698,-4.0416698
590,591,957,-3.9583299,-3.9583299
591,592,981,-3.8750000,-3.8750000
592,593,996,-3.7916701,-3.7916701
593,594,1025,-3.7083299,-3.7083299
594,595,1076,-3.6250000,-3.6250000
595,596,1051,-3.5416701,-3.5416701
596,597,1055,-3.4583299,-3.4583299
597,598,1067,-3.3750000,-3.3750000
598,599,1081,-3.2916701,-3.2916701
599,600,1087,-3.2083299,-3.2083299
600,601,1099,-3.1250000,-3.1250000
601,602,1115,-3.0416701,-3.0416701
602,603,1125,-2.9583299,-2.9583299
603,604,1128,-2.8750000,-2.8750000
604,605,1126,-2.7916701,-2.7916701
605,606,1126,-2.7083299,-2.7083299
606,607,1145,-2.6250000,-2.6250000
