FID,POINTID,GRID_CODE,lon,lat
0,1,226,-7.8750000,43.7916985
1,2,118,-7.7083302,43.7916985
2,3,159,-8.0416698,43.7083015
3,4,381,-7.9583302,43.7083015
4,5,129,-7.8750000,43.7083015
5,6,127,-7.7916698,43.7083015
6,7,179,-7.7083302,43.7083015
7,8,155,-7.6250000,43.7083015
8,9,134,-7.5416698,43.7083015
9,10,76,-7.4583302,43.7083015
10,11,65,-7.3750000,43.7083015
11,12,36,-8.2083302,43.6250000
12,13,130,-8.1250000,43.6250000
13,14,181,-8.0416698,43.6250000
14,15,261,-7.9583302,43.6250000
15,16,178,-7.8750000,43.6250000
16,17,328,-7.7916698,43.6250000
17,18,363,-7.7083302,43.6250000
18,19,204,-7.6250000,43.6250000
19,20,362,-7.5416698,43.6250000
20,21,339,-7.4583302,43.6250000
21,22,203,-7.3750000,43.6250000
22,23,74,-7.2916698,43.6250000
23,24,62,-6.2083302,43.6250000
24,25,11,-5.9583302,43.6250000
25,26,55,-5.8750000,43.6250000
26,27,49,-5.7916698,43.6250000
27,28,98,-8.2916698,43.5416985
28,29,77,-8.2083302,43.5416985
29,30,134,-8.1250000,43.5416985
30,31,186,-8.0416698,43.5416985
31,32,265,-7.9583302,43.5416985
32,33,409,-7.8750000,43.5416985
33,34,510,-7.7916698,43.5416985
34,35,489,-7.7083302,43.5416985
35,36,417,-7.6250000,43.5416985
36,37,564,-7.5416698,43.5416985
37,38,260,-7.4583302,43.5416985
38,39,146,-7.3750000,43.5416985
39,40,132,-7.2916698,43.5416985
40,41,163,-7.2083302,43.5416985
41,42,158,-7.1250000,43.5416985
42,43,60,-7.0416698,43.5416985
43,44,92,-6.9583302,43.5416985
44,45,106,-6.8750000,43.5416985
45,46,156,-6.7916698,43.5416985
46,47,82,-6.7083302,43.5416985
47,48,212,-6.6250000,43.5416985
48,49,139,-6.5416698,43.5416985
49,50,168,-6.4583302,43.5416985
50,51,265,-6.3750000,43.5416985
51,52,291,-6.2916698,43.5416985
52,53,233,-6.2083302,43.5416985
53,54,186,-6.1250000,43.5416985
54,55,133,-6.0416698,43.5416985
55,56,102,-5.9583302,43.5416985
56,57,83,-5.8750000,43.5416985
57,58,107,-5.7916698,43.5416985
58,59,46,-5.7083302,43.5416985
59,60,53,-5.6250000,43.5416985
60,61,134,-5.5416698,43.5416985
61,62,153,-5.4583302,43.5416985
62,63,72,-5.3750000,43.5416985
63,64,115,-5.2916698,43.5416985
64,65,30,-3.6250000,43.5416985
65,66,64,-3.5416701,43.5416985
66,67,12,-1.5416700,43.5416985
67,68,24,-1.4583300,43.5416985
68,69,29,-1.3750000,43.5416985
69,70,24,-1.2916700,43.5416985
70,71,23,-1.2083300,43.5416985
71,72,37,-1.1250000,43.5416985
72,73,44,-1.0416700,43.5416985
73,74,65,-0.9583330,43.5416985
74,75,86,-0.8750000,43.5416985
75,76,110,-0.7916670,43.5416985
76,77,103,-0.7083330,43.5416985
77,78,114,-0.6250000,43.5416985
78,79,126,-0.5416670,43.5416985
79,80,154,-0.4583330,43.5416985
80,81,174,-0.3750000,43.5416985
81,82,199,-0.2916670,43.5416985
82,83,175,-0.2083330,43.5416985
83,84,194,-0.1250000,43.5416985
84,85,187,-0.0416667,43.5416985
85,86,165,0.0416667,43.5416985
86,87,167,0.1250000,43.5416985
87,88,211,0.2083330,43.5416985
88,89,215,0.2916670,43.5416985
89,90,201,0.3750000,43.5416985
90,91,204,0.4583330,43.5416985
91,92,207,0.5416670,43.5416985
92,93,219,0.6250000,43.5416985
93,94,227,0.7083330,43.5416985
94,95,208,0.7916670,43.5416985
95,96,214,0.8750000,43.5416985
96,97,195,0.9583330,43.5416985
97,98,200,1.0416700,43.5416985
98,99,258,1.1250000,43.5416985
99,100,202,1.2083300,43.5416985
100,101,174,1.2916700,43.5416985
101,102,157,1.3750000,43.5416985
102,103,185,1.4583300,43.5416985
103,104,169,1.5416700,43.5416985
104,105,199,1.6250000,43.5416985
105,106,223,1.7083300,43.5416985
106,107,219,1.7916700,43.5416985
107,108,237,1.8750000,43.5416985
108,109,229,1.9583300,43.5416985
109,110,224,2.0416701,43.5416985
110,111,194,2.1250000,43.5416985
111,112,224,2.2083299,43.5416985
112,113,239,2.2916701,43.5416985
113,114,337,2.3750000,43.5416985
114,115,615,2.4583299,43.5416985
115,116,749,2.5416701,43.5416985
116,117,838,2.6250000,43.5416985
117,118,884,2.7083299,43.5416985
118,119,724,2.7916701,43.5416985
119,120,461,2.8750000,43.5416985
120,121,332,2.9583299,43.5416985
121,122,39,-8.3750000,43.4583015
122,123,92,-8.2916698,43.4583015
123,124,52,-8.2083302,43.4583015
124,125,224,-8.1250000,43.4583015
125,126,389,-8.0416698,43.4583015
126,127,458,-7.9583302,43.4583015
127,128,403,-7.8750000,43.4583015
128,129,512,-7.7916698,43.4583015
129,130,648,-7.7083302,43.4583015
130,131,729,-7.6250000,43.4583015
131,132,743,-7.5416698,43.4583015
132,133,542,-7.4583302,43.4583015
133,134,317,-7.3750000,43.4583015
134,135,203,-7.2916698,43.4583015
135,136,332,-7.2083302,43.4583015
136,137,171,-7.1250000,43.4583015
