FID,POINTID,GRID_CODE,lon,lat
0,1,42.934780119999999,-7.8750000,43.7916985
1,2,43.243240360000001,-7.7083302,43.7916985
2,3,43.825901029999997,-8.0416698,43.7083015
3,4,42.964210510000001,-7.9583302,43.7083015
4,5,44.278991699999999,-7.8750000,43.7083015
5,6,44.646118160000000,-7.7916698,43.7083015
6,7,44.234748840000002,-7.7083302,43.7083015
7,8,44.443820950000003,-7.6250000,43.7083015
8,9,44.605300900000003,-7.5416698,43.7083015
9,10,45.259788510000000,-7.4583302,43.7083015
10,11,45.044788359999998,-7.3750000,43.7083015
11,12,44.927410129999998,-8.2083302,43.6250000
12,13,44.174419399999998,-8.1250000,43.6250000
13,14,44.104419710000002,-8.0416698,43.6250000
14,15,44.199291230000000,-7.9583302,43.6250000
15,16,44.605678560000001,-7.8750000,43.6250000
16,17,44.230281830000003,-7.7916698,43.6250000
17,18,44.305309299999998,-7.7083302,43.6250000
18,19,44.982711790000003,-7.6250000,43.6250000
19,20,44.489589690000003,-7.5416698,43.6250000
20,21,44.671089170000002,-7.4583302,43.6250000
21,22,45.158260349999999,-7.3750000,43.6250000
22,23,45.556491850000000,-7.2916698,43.6250000
23,24,43.214660639999998,-6.2083302,43.6250000
24,25,42.453899380000003,-5.9583302,43.6250000
25,26,41.922050480000003,-5.8750000,43.6250000
26,27,41.500080109999999,-5.7916698,43.6250000
27,28,44.290489200000003,-8.2916698,43.5416985
28,29,45.180568700000002,-8.2083302,43.5416985
29,30,45.157928470000002,-8.1250000,43.5416985
30,31,44.993518829999999,-8.0416698,43.5416985
31,32,44.824550629999997,-7.9583302,43.5416985
32,33,44.181381230000000,-7.8750000,43.5416985
33,34,43.840061190000000,-7.7916698,43.5416985
34,35,43.913990020000000,-7.7083302,43.5416985
35,36,43.992031099999998,-7.6250000,43.5416985
36,37,43.729980470000001,-7.5416698,43.5416985
37,38,45.943439480000002,-7.4583302,43.5416985
38,39,46.289310460000003,-7.3750000,43.5416985
39,40,45.932598110000001,-7.2916698,43.5416985
40,41,46.041198729999998,-7.2083302,43.5416985
41,42,46.191940310000000,-7.1250000,43.5416985
42,43,46.669158940000003,-7.0416698,43.5416985
43,44,47.128898620000001,-6.9583302,43.5416985
44,45,47.102630619999999,-6.8750000,43.5416985
45,46,46.635288240000001,-6.7916698,43.5416985
46,47,46.854560849999999,-6.7083302,43.5416985
47,48,46.118938450000002,-6.6250000,43.5416985
48,49,45.903789519999997,-6.5416698,43.5416985
49,50,45.267070769999997,-6.4583302,43.5416985
50,51,44.480808260000003,-6.3750000,43.5416985
51,52,43.737678529999997,-6.2916698,43.5416985
52,53,43.574440000000003,-6.2083302,43.5416985
53,54,43.155410770000003,-6.1250000,43.5416985
54,55,43.062870029999999,-6.0416698,43.5416985
55,56,43.216609949999999,-5.9583302,43.5416985
56,57,43.136661529999998,-5.8750000,43.5416985
57,58,42.221790310000003,-5.7916698,43.5416985
58,59,42.056060789999997,-5.7083302,43.5416985
59,60,41.288520810000001,-5.6250000,43.5416985
60,61,40.677490229999997,-5.5416698,43.5416985
61,62,40.457721710000001,-5.4583302,43.5416985
62,63,41.173561100000001,-5.3750000,43.5416985
63,64,40.990909580000000,-5.2916698,43.5416985
64,65,45.979278559999997,-3.6250000,43.5416985
65,66,45.361190800000003,-3.5416701,43.5416985
66,67,39.338718409999998,-1.5416700,43.5416985
67,68,40.165260310000001,-1.4583300,43.5416985
68,69,41.847751619999997,-1.3750000,43.5416985
69,70,43.053089139999997,-1.2916700,43.5416985
70,71,43.575168609999999,-1.2083300,43.5416985
71,72,44.494190220000000,-1.1250000,43.5416985
72,73,44.312690730000000,-1.0416700,43.5416985
73,74,44.155300140000001,-0.9583330,43.5416985
74,75,43.625541689999999,-0.8750000,43.5416985
75,76,43.058509829999998,-0.7916670,43.5416985
76,77,42.410659789999997,-0.7083330,43.5416985
77,78,41.408458709999998,-0.6250000,43.5416985
78,79,40.772720339999999,-0.5416670,43.5416985
79,80,40.652000430000001,-0.4583330,43.5416985
80,81,40.736621860000000,-0.3750000,43.5416985
81,82,40.556011200000000,-0.2916670,43.5416985
82,83,40.128398900000001,-0.2083330,43.5416985
83,84,40.332729340000000,-0.1250000,43.5416985
84,85,40.548599240000001,-0.0416667,43.5416985
85,86,41.333358760000003,0.0416667,43.5416985
86,87,41.364189150000001,0.1250000,43.5416985
87,88,40.975978849999997,0.2083330,43.5416985
88,89,41.119651789999999,0.2916670,43.5416985
89,90,41.460281369999997,0.3750000,43.5416985
90,91,41.474998470000003,0.4583330,43.5416985
91,92,41.457370760000003,0.5416670,43.5416985
92,93,41.405639649999998,0.6250000,43.5416985
93,94,41.127571109999998,0.7083330,43.5416985
94,95,41.189270020000002,0.7916670,43.5416985
95,96,41.130340580000002,0.8750000,43.5416985
96,97,40.963359830000002,0.9583330,43.5416985
97,98,40.504638669999999,1.0416700,43.5416985
98,99,39.419448850000002,1.1250000,43.5416985
99,100,39.123939510000000,1.2083300,43.5416985
100,101,38.874580379999998,1.2916700,43.5416985
101,102,38.334899900000003,1.3750000,43.5416985
102,103,38.180751800000003,1.4583300,43.5416985
103,104,38.657711030000002,1.5416700,43.5416985
104,105,38.603229519999999,1.6250000,43.5416985
105,106,38.688419340000003,1.7083300,43.5416985
106,107,38.825729369999998,1.7916700,43.5416985
107,108,38.677459720000002,1.8750000,43.5416985
108,109,38.764659880000004,1.9583300,43.5416985
109,110,38.428951259999998,2.0416701,43.5416985
110,111,37.820068360000000,2.1250000,43.5416985
111,112,37.214588169999999,2.2083299,43.5416985
112,113,36.904441830000003,2.2916701,43.5416985
113,114,35.994010930000002,2.3750000,43.5416985
114,115,35.029140470000002,2.4583299,43.5416985
115,116,34.553649900000003,2.5416701,43.5416985
116,117,34.392940520000003,2.6250000,43.5416985
117,118,33.798820499999998,2.7083299,43.5416985
118,119,33.758430480000001,2.7916701,43.5416985
119,120,33.840789790000002,2.8750000,43.5416985
120,121,33.681461329999998,2.9583299,43.5416985
121,122,43.708240510000003,-8.3750000,43.4583015
122,123,44.244438170000002,-8.2916698,43.4583015
123,124,45.201869960000003,-8.2083302,43.4583015
124,125,44.737678529999997,-8.1250000,43.4583015
125,126,44.208328250000001,-8.0416698,43.4583015
126,127,44.218288420000000,-7.9583302,43.4583015
127,128,44.649398800000000,-7.8750000,43.4583015
128,129,44.239219669999997,-7.7916698,43.4583015
129,130,43.357631679999997,-7.7083302,43.4583015
130,131,43.092041020000003,-7.6250000,43.4583015
131,132,43.483249659999998,-7.5416698,43.4583015
132,133,44.629089360000002,-7.4583302,43.4583015
133,134,45.416759489999997,-7.3750000,43.4583015
