FID,POINTID,GRID_CODE,lon,lat
0,1,21.269229889999998,-7.8750000,43.7916985
1,2,21.756250380000001,-7.7083302,43.7916985
2,3,21.572729110000001,-8.0416698,43.7083015
3,4,21.273969650000002,-7.9583302,43.7083015
4,5,22.077270510000002,-7.8750000,43.7083015
5,6,22.335620880000000,-7.7916698,43.7083015
6,7,22.155439380000001,-7.7083302,43.7083015
7,8,22.269639970000000,-7.6250000,43.7083015
8,9,22.368659970000000,-7.5416698,43.7083015
9,10,22.729789730000000,-7.4583302,43.7083015
10,11,22.718179700000000,-7.3750000,43.7083015
11,12,22.315790180000000,-8.2083302,43.6250000
12,13,22.041540149999999,-8.1250000,43.6250000
13,14,22.039560320000000,-8.0416698,43.6250000
14,15,22.045000080000001,-7.9583302,43.6250000
15,16,22.365999219999999,-7.8750000,43.6250000
16,17,22.176000599999998,-7.7916698,43.6250000
17,18,22.124000550000002,-7.7083302,43.6250000
18,19,22.645000459999999,-7.6250000,43.6250000
19,20,22.291000369999999,-7.5416698,43.6250000
20,21,22.332000730000001,-7.4583302,43.6250000
21,22,22.706380840000001,-7.3750000,43.6250000
22,23,23.152379990000000,-7.2916698,43.6250000
23,24,21.850000380000001,-6.2083302,43.6250000
24,25,22.428569790000001,-5.9583302,43.6250000
25,26,22.392059329999999,-5.8750000,43.6250000
26,27,22.523910520000001,-5.7916698,43.6250000
27,28,22.233900070000001,-8.2916698,43.5416985
28,29,22.767370220000000,-8.2083302,43.5416985
29,30,22.726530080000000,-8.1250000,43.5416985
30,31,22.604999540000001,-8.0416698,43.5416985
31,32,22.485000610000000,-7.9583302,43.5416985
32,33,22.204000470000000,-7.8750000,43.5416985
33,34,22.033000950000002,-7.7916698,43.5416985
34,35,22.158000950000002,-7.7083302,43.5416985
35,36,22.347999569999999,-7.6250000,43.5416985
36,37,22.131000520000001,-7.5416698,43.5416985
37,38,22.954999919999999,-7.4583302,43.5416985
38,39,23.311000820000000,-7.3750000,43.5416985
39,40,23.318559650000001,-7.2916698,43.5416985
40,41,23.453250890000000,-7.2083302,43.5416985
41,42,23.452859879999998,-7.1250000,43.5416985
42,43,23.640350340000001,-7.0416698,43.5416985
43,44,23.518749239999998,-6.9583302,43.5416985
44,45,23.398769380000001,-6.8750000,43.5416985
45,46,23.176319119999999,-6.7916698,43.5416985
46,47,23.328380580000001,-6.7083302,43.5416985
47,48,22.917100909999998,-6.6250000,43.5416985
48,49,22.785940170000000,-6.5416698,43.5416985
49,50,22.524639130000001,-6.4583302,43.5416985
50,51,22.183330540000000,-6.3750000,43.5416985
51,52,21.938100810000002,-6.2916698,43.5416985
52,53,22.013189319999999,-6.2083302,43.5416985
53,54,22.037839890000001,-6.1250000,43.5416985
54,55,22.178409580000000,-6.0416698,43.5416985
55,56,22.742549900000000,-5.9583302,43.5416985
56,57,23.068000789999999,-5.8750000,43.5416985
57,58,22.851999280000001,-5.7916698,43.5416985
58,59,23.382669450000002,-5.7083302,43.5416985
59,60,23.100000380000001,-5.6250000,43.5416985
60,61,22.566099170000001,-5.5416698,43.5416985
61,62,22.438329700000001,-5.4583302,43.5416985
62,63,22.778259280000000,-5.3750000,43.5416985
63,64,22.658620830000000,-5.2916698,43.5416985
64,65,23.680000310000000,-3.6250000,43.5416985
65,66,23.625000000000000,-3.5416701,43.5416985
66,67,24.857889180000001,-1.5416700,43.5416985
67,68,24.688659670000000,-1.4583300,43.5416985
68,69,24.540000920000001,-1.3750000,43.5416985
69,70,24.611000059999999,-1.2916700,43.5416985
70,71,24.790000920000001,-1.2083300,43.5416985
71,72,24.893999099999998,-1.1250000,43.5416985
72,73,24.910999300000000,-1.0416700,43.5416985
73,74,24.954000470000000,-0.9583330,43.5416985
74,75,24.959999079999999,-0.8750000,43.5416985
75,76,24.929000850000001,-0.7916670,43.5416985
76,77,24.996000290000001,-0.7083330,43.5416985
77,78,24.906000140000000,-0.6250000,43.5416985
78,79,24.788000109999999,-0.5416670,43.5416985
79,80,24.700000760000002,-0.4583330,43.5416985
80,81,24.656000140000000,-0.3750000,43.5416985
81,82,24.662000660000000,-0.2916670,43.5416985
82,83,24.898000719999999,-0.2083330,43.5416985
83,84,24.958999630000001,-0.1250000,43.5416985
84,85,25.020000459999999,-0.0416667,43.5416985
85,86,25.163000109999999,0.0416667,43.5416985
86,87,25.392999650000000,0.1250000,43.5416985
87,88,25.596000669999999,0.2083330,43.5416985
88,89,25.788999560000001,0.2916670,43.5416985
