FID,POINTID,GRID_CODE,lon,lat
0,1,12.981730460000000,-7.8750000,43.7916985
1,2,13.585940360000000,-7.7083302,43.7916985
2,3,13.398579600000000,-8.0416698,43.7083015
3,4,12.350060460000000,-7.9583302,43.7083015
4,5,13.508210180000001,-7.8750000,43.7083015
5,6,13.583049770000001,-7.7916698,43.7083015
6,7,13.307740210000000,-7.7083302,43.7083015
7,8,13.477379800000000,-7.6250000,43.7083015
8,9,13.549010279999999,-7.5416698,43.7083015
9,10,13.862850190000000,-7.4583302,43.7083015
10,11,13.862119670000000,-7.3750000,43.7083015
11,12,14.072150230000000,-8.2083302,43.6250000
12,13,13.594869610000000,-8.1250000,43.6250000
13,14,13.327199940000000,-8.0416698,43.6250000
14,15,12.913869860000000,-7.9583302,43.6250000
15,16,13.300290110000001,-7.8750000,43.6250000
16,17,12.648289680000000,-7.7916698,43.6250000
17,18,12.432709689999999,-7.7083302,43.6250000
18,19,13.223540310000001,-7.6250000,43.6250000
19,20,12.490539549999999,-7.5416698,43.6250000
20,21,12.603710169999999,-7.4583302,43.6250000
21,22,13.240380289999999,-7.3750000,43.6250000
22,23,13.866669650000000,-7.2916698,43.6250000
23,24,13.385419850000000,-6.2083302,43.6250000
24,25,13.757140160000001,-5.9583302,43.6250000
25,26,13.490079880000000,-5.8750000,43.6250000
26,27,13.562950130000001,-5.7916698,43.6250000
27,28,13.816809650000000,-8.2916698,43.5416985
28,29,13.933770180000000,-8.2083302,43.5416985
29,30,13.633669850000000,-8.1250000,43.5416985
30,31,13.319040299999999,-8.0416698,43.5416985
31,32,12.912790299999999,-7.9583302,43.5416985
32,33,12.252539629999999,-7.8750000,43.5416985
33,34,11.761879920000000,-7.7916698,43.5416985
34,35,11.854539870000000,-7.7083302,43.5416985
35,36,12.208169939999999,-7.6250000,43.5416985
36,37,11.566499710000000,-7.5416698,43.5416985
37,38,12.965869900000000,-7.4583302,43.5416985
38,39,13.515580180000001,-7.3750000,43.5416985
39,40,13.615460400000000,-7.2916698,43.5416985
40,41,13.514180180000000,-7.2083302,43.5416985
41,42,13.515299799999999,-7.1250000,43.5416985
42,43,13.944230080000001,-7.0416698,43.5416985
43,44,13.742500310000000,-6.9583302,43.5416985
44,45,13.649330140000000,-6.8750000,43.5416985
45,46,13.370940210000001,-6.7916698,43.5416985
46,47,13.671509739999999,-6.7083302,43.5416985
47,48,13.050990100000000,-6.6250000,43.5416985
48,49,13.290169720000000,-6.5416698,43.5416985
49,50,13.101630210000000,-6.4583302,43.5416985
50,51,12.635100359999999,-6.3750000,43.5416985
51,52,12.473509790000000,-6.2916698,43.5416985
52,53,12.720649720000001,-6.2083302,43.5416985
53,54,12.896059989999999,-6.1250000,43.5416985
54,55,13.104450229999999,-6.0416698,43.5416985
55,56,13.394060130000000,-5.9583302,43.5416985
56,57,13.520580290000000,-5.8750000,43.5416985
57,58,13.365670200000000,-5.7916698,43.5416985
58,59,13.826279639999999,-5.7083302,43.5416985
59,60,13.732449530000000,-5.6250000,43.5416985
60,61,13.198019980000000,-5.5416698,43.5416985
61,62,13.097990039999999,-5.4583302,43.5416985
62,63,13.436960220000000,-5.3750000,43.5416985
63,64,13.242529870000000,-5.2916698,43.5416985
64,65,14.150830270000000,-3.6250000,43.5416985
65,66,14.076040270000000,-3.5416701,43.5416985
66,67,14.404170040000000,-1.5416700,43.5416985
67,68,14.192139630000000,-1.4583300,43.5416985
68,69,13.996669770000000,-1.3750000,43.5416985
69,70,13.982130050000000,-1.2916700,43.5416985
70,71,14.003959660000000,-1.2083300,43.5416985
71,72,13.971249580000000,-1.1250000,43.5416985
72,73,13.887539860000000,-1.0416700,43.5416985
73,74,13.812919620000001,-0.9583330,43.5416985
74,75,13.698960300000000,-0.8750000,43.5416985
75,76,13.567959790000000,-0.7916670,43.5416985
76,77,13.579000470000000,-0.7083330,43.5416985
77,78,13.504329680000000,-0.6250000,43.5416985
78,79,13.435709950000000,-0.5416670,43.5416985
79,80,13.287630080000000,-0.4583330,43.5416985
80,81,13.104749679999999,-0.3750000,43.5416985
81,82,12.895210270000000,-0.2916670,43.5416985
82,83,12.939579960000000,-0.2083330,43.5416985
83,84,12.822460169999999,-0.1250000,43.5416985
84,85,12.783539770000001,-0.0416667,43.5416985
85,86,12.829170230000001,0.0416667,43.5416985
86,87,12.831040379999999,0.1250000,43.5416985
87,88,12.661829950000000,0.2083330,43.5416985
88,89,12.627710340000000,0.2916670,43.5416985
89,90,12.706749920000000,0.3750000,43.5416985
90,91,12.701129910000001,0.4583330,43.5416985
91,92,12.670749660000000,0.5416670,43.5416985
92,93,12.629540440000000,0.6250000,43.5416985
93,94,12.592619900000001,0.7083330,43.5416985
94,95,12.666210169999999,0.7916670,43.5416985
95,96,12.650580410000000,0.8750000,43.5416985
96,97,12.722869870000000,0.9583330,43.5416985
97,98,12.698749540000000,1.0416700,43.5416985
98,99,12.367750170000001,1.1250000,43.5416985
99,100,12.554619790000000,1.2083300,43.5416985
100,101,12.820249560000001,1.2916700,43.5416985
101,102,13.122670169999999,1.3750000,43.5416985
102,103,13.042920110000001,1.4583300,43.5416985
