FID,POINTID,GRID_CODE,lon,lat
0,1,6.053845880000000,-7.8750000,43.7916985
1,2,6.724999900000000,-7.7083302,43.7916985
2,3,6.538636210000000,-8.0416698,43.7083015
3,4,5.235616210000000,-7.9583302,43.7083015
4,5,6.306060790000000,-7.8750000,43.7083015
5,6,6.354794980000000,-7.7916698,43.7083015
6,7,6.071739200000000,-7.7083302,43.7083015
7,8,6.307143210000000,-7.6250000,43.7083015
8,9,6.234327790000000,-7.5416698,43.7083015
9,10,6.500000000000000,-7.4583302,43.7083015
10,11,6.481818200000000,-7.3750000,43.7083015
11,12,6.968420980000000,-8.2083302,43.6250000
12,13,6.500000000000000,-8.1250000,43.6250000
13,14,6.078022000000000,-8.0416698,43.6250000
14,15,5.467999940000000,-7.9583302,43.6250000
15,16,5.809999940000000,-7.8750000,43.6250000
16,17,5.067999840000000,-7.7916698,43.6250000
17,18,4.735000130000000,-7.7083302,43.6250000
18,19,5.579000000000000,-7.6250000,43.6250000
19,20,4.756000040000000,-7.5416698,43.6250000
20,21,4.940999980000000,-7.4583302,43.6250000
21,22,5.588297840000000,-7.3750000,43.6250000
22,23,6.238094810000000,-7.2916698,43.6250000
23,24,5.699999810000000,-6.2083302,43.6250000
24,25,5.642857070000000,-5.9583302,43.6250000
25,26,5.247619150000000,-5.8750000,43.6250000
26,27,5.232608800000000,-5.7916698,43.6250000
27,28,6.698305130000000,-8.2916698,43.5416985
28,29,6.473683830000000,-8.2083302,43.5416985
29,30,6.057143210000000,-8.1250000,43.5416985
30,31,5.631999970000000,-8.0416698,43.5416985
31,32,5.129000190000000,-7.9583302,43.5416985
32,33,4.474999900000000,-7.8750000,43.5416985
33,34,3.874000070000000,-7.7916698,43.5416985
34,35,3.940000060000000,-7.7083302,43.5416985
35,36,4.357999800000000,-7.6250000,43.5416985
36,37,3.601000070000000,-7.5416698,43.5416985
37,38,5.056000230000000,-7.4583302,43.5416985
38,39,5.556000230000000,-7.3750000,43.5416985
39,40,5.749485020000000,-7.2916698,43.5416985
40,41,5.568830970000000,-7.2083302,43.5416985
41,42,5.542857170000000,-7.1250000,43.5416985
