FID,POINTID,GRID_CODE,lon,lat
0,1,15.215379710000001,-7.8750000,-7.8750000
1,2,15.031250000000000,-7.7083302,-7.7083302
2,3,15.034090040000001,-8.0416698,-8.0416698
3,4,16.038360600000001,-7.9583302,-7.9583302
4,5,15.771209720000000,-7.8750000,-7.8750000
5,6,15.980819700000000,-7.7916698,-7.7916698
6,7,16.083700180000001,-7.7083302,-7.7083302
7,8,15.962499619999999,-7.6250000,-7.6250000
8,9,16.134330750000000,-7.5416698,-7.5416698
9,10,16.229789730000000,-7.4583302,-7.4583302
10,11,16.236360550000001,-7.3750000,-7.3750000
11,12,15.347370150000000,-8.2083302,-8.2083302
12,13,15.541540149999999,-8.1250000,-8.1250000
13,14,15.961540220000000,-8.0416698,-8.0416698
14,15,16.576999659999998,-7.9583302,-7.9583302
15,16,16.555999759999999,-7.8750000,-7.8750000
16,17,17.107999800000002,-7.7916698,-7.7916698
17,18,17.388999940000001,-7.7083302,-7.7083302
18,19,17.065999980000001,-7.6250000,-7.6250000
19,20,17.534999849999998,-7.5416698,-7.5416698
20,21,17.391000750000000,-7.4583302,-7.4583302
21,22,17.118080140000000,-7.3750000,-7.3750000
22,23,16.914289470000000,-7.2916698,-7.2916698
23,24,16.149999619999999,-6.2083302,-6.2083302
24,25,16.785720829999999,-5.9583302,-5.9583302
25,26,17.144439700000000,-5.8750000,-5.8750000
26,27,17.291299819999999,-5.7916698,-5.7916698
27,28,15.535590170000001,-8.2916698,-8.2916698
28,29,16.293680190000000,-8.2083302,-8.2083302
29,30,16.669389720000002,-8.1250000,-8.1250000
30,31,16.972999569999999,-8.0416698,-8.0416698
31,32,17.356000900000002,-7.9583302,-7.9583302
32,33,17.729000090000000,-7.8750000,-7.8750000
33,34,18.159000400000000,-7.7916698,-7.7916698
34,35,18.218000409999998,-7.7083302,-7.7083302
35,36,17.989999770000001,-7.6250000,-7.6250000
36,37,18.530000690000001,-7.5416698,-7.5416698
37,38,17.899000170000001,-7.4583302,-7.4583302
38,39,17.754999160000001,-7.3750000,-7.3750000
39,40,17.569070820000000,-7.2916698,-7.2916698
40,41,17.884420389999999,-7.2083302,-7.2083302
41,42,17.909999849999998,-7.1250000,-7.1250000
42,43,17.622810359999999,-7.0416698,-7.0416698
43,44,17.784999849999998,-6.9583302,-6.9583302
44,45,17.779010769999999,-6.8750000,-6.8750000
45,46,17.890790939999999,-6.7916698,-6.7916698
46,47,17.764869690000001,-6.7083302,-6.7083302
47,48,18.024999619999999,-6.6250000,-6.6250000
48,49,17.556249619999999,-6.5416698,-6.5416698
49,50,17.446380619999999,-6.4583302,-6.4583302
50,51,17.592420579999999,-6.3750000,-6.3750000
51,52,17.517860410000001,-6.2916698,-6.2916698
52,53,17.357139589999999,-6.2083302,-6.2083302
53,54,17.216220860000000,-6.1250000,-6.1250000
54,55,17.254550930000001,-6.0416698,-6.0416698
55,56,17.834039690000001,-5.9583302,-5.9583302
56,57,18.219999309999999,-5.8750000,-5.8750000
57,58,18.134000780000001,-5.7916698,-5.7916698
58,59,18.290670389999999,-5.7083302,-5.7083302
59,60,18.208200450000000,-5.6250000,-5.6250000
60,61,18.262710569999999,-5.5416698,-5.5416698
61,62,18.151670459999998,-5.4583302,-5.4583302
62,63,18.332609179999999,-5.3750000,-5.3750000
63,64,18.455169680000001,-5.2916698,-5.2916698
64,65,17.700000760000002,-3.6250000,-3.6250000
65,66,17.649999619999999,-3.5416701,-3.5416701
66,67,19.857889180000001,-1.5416700,-1.5416700
67,68,19.992780690000000,-1.4583300,-1.4583300
68,69,20.156000140000000,-1.3750000,-1.3750000
69,70,20.285999300000000,-1.2916700,-1.2916700
70,71,20.447999950000000,-1.2083300,-1.2083300
71,72,20.663000109999999,-1.1250000,-1.1250000
72,73,20.767000199999998,-1.0416700,-1.0416700
73,74,20.905000690000001,-0.9583330,-0.9583330
74,75,21.006999969999999,-0.8750000,-0.8750000
75,76,21.159000400000000,-0.7916670,-0.7916670
76,77,21.304000850000001,-0.7083330,-0.7083330
77,78,21.172000890000000,-0.6250000,-0.6250000
78,79,21.104999540000001,-0.5416670,-0.5416670
79,80,21.214000700000000,-0.4583330,-0.4583330
80,81,21.566999440000000,-0.3750000,-0.3750000
81,82,21.999000550000002,-0.2916670,-0.2916670
82,83,22.378999709999999,-0.2083330,-0.2083330
83,84,22.746000290000001,-0.1250000,-0.1250000
84,85,23.000999449999998,-0.0416667,-0.0416667
85,86,23.326999659999998,0.0416667,0.0416667
86,87,23.666000369999999,0.1250000,0.1250000
87,88,24.010000229999999,0.2083330,0.2083330
88,89,24.267999650000000,0.2916670,0.2916670
89,90,24.388000490000000,0.3750000,0.3750000
90,91,24.608999250000000,0.4583330,0.4583330
91,92,24.805000310000000,0.5416670,0.5416670
92,93,24.805999759999999,0.6250000,0.6250000
93,94,25.010999680000001,0.7083330,0.7083330
94,95,25.083999630000001,0.7916670,0.7916670
95,96,25.139999390000000,0.8750000,0.8750000
96,97,25.166999820000001,0.9583330,0.9583330
97,98,25.193000789999999,1.0416700,1.0416700
98,99,24.941999440000000,1.1250000,1.1250000
99,100,25.065000529999999,1.2083300,1.2083300
100,101,25.246999740000000,1.2916700,1.2916700
101,102,25.502000809999998,1.3750000,1.3750000
102,103,25.504999160000001,1.4583300,1.4583300
103,104,25.520999910000000,1.5416700,1.5416700
104,105,25.632999420000001,1.6250000,1.6250000
105,106,25.759000780000001,1.7083300,1.7083300
106,107,26.035999300000000,1.7916700,1.7916700
107,108,26.118999479999999,1.8750000,1.8750000
108,109,26.139999390000000,1.9583300,1.9583300
109,110,26.041999820000001,2.0416701,2.0416701
110,111,26.191999440000000,2.1250000,2.1250000
111,112,26.131999969999999,2.2083299,2.2083299
112,113,25.969999309999999,2.2916701,2.2916701
113,114,24.978000640000001,2.3750000,2.3750000
114,115,24.305000310000000,2.4583299,2.4583299
115,116,24.017000199999998,2.5416701,2.5416701
116,117,23.986999510000000,2.6250000,2.6250000
117,118,23.613000870000000,2.7083299,2.7083299
118,119,23.386999130000000,2.7916701,2.7916701
119,120,23.516000750000000,2.8750000,2.8750000
120,121,23.722000120000001,2.9583299,2.9583299
121,122,14.966670040000000,-8.3750000,-8.3750000
122,123,15.755740169999999,-8.2916698,-8.2916698
123,124,16.524639130000001,-8.2083302,-8.2083302
124,125,17.306999210000001,-8.1250000,-8.1250000
125,126,18.082000730000001,-8.0416698,-8.0416698
126,127,18.596000669999999,-7.9583302,-7.9583302
127,128,18.825000760000002,-7.8750000,-7.8750000
128,129,19.193000789999999,-7.7916698,-7.7916698
129,130,19.416999820000001,-7.7083302,-7.7083302
130,131,19.719999309999999,-7.6250000,-7.6250000
131,132,19.822000500000001,-7.5416698,-7.5416698
132,133,19.451999659999998,-7.4583302,-7.4583302
133,134,18.684000019999999,-7.3750000,-7.3750000
134,135,18.365999219999999,-7.2916698,-7.2916698
135,136,18.752000809999998,-7.2083302,-7.2083302
136,137,18.360000610000000,-7.1250000,-7.1250000
137,138,18.304119109999998,-7.0416698,-7.0416698
138,139,18.983999250000000,-6.9583302,-6.9583302
139,140,19.271999359999999,-6.8750000,-6.8750000
140,141,19.565000529999999,-6.7916698,-6.7916698
141,142,19.037000660000000,-6.7083302,-6.7083302
142,143,20.027000430000001,-6.6250000,-6.6250000
143,144,19.489000319999999,-6.5416698,-6.5416698
144,145,19.017000199999998,-6.4583302,-6.4583302
145,146,19.198999400000002,-6.3750000,-6.3750000
146,147,19.607000350000000,-6.2916698,-6.2916698
147,148,18.743000030000001,-6.2083302,-6.2083302
148,149,18.277999879999999,-6.1250000,-6.1250000
