FID,POINTID,GRID_CODE,lon,lat
0,1,320.803100589999990,-7.8750000,43.7916985
1,2,313.973205570000000,-7.7083302,43.7916985
2,3,315.325592040000000,-8.0416698,43.7083015
3,4,339.993499760000020,-7.9583302,43.7083015
4,5,325.580291750000010,-7.8750000,43.7083015
5,6,329.971496580000010,-7.7916698,43.7083015
6,7,333.238586430000000,-7.7083302,43.7083015
7,8,330.228790280000000,-7.6250000,43.7083015
8,9,332.024597169999990,-7.5416698,43.7083015
9,10,332.325897220000000,-7.4583302,43.7083015
10,11,331.778686520000010,-7.3750000,43.7083015
11,12,309.865386960000020,-8.2083302,43.6250000
12,13,319.492095950000020,-8.1250000,43.6250000
13,14,330.238586430000000,-8.0416698,43.6250000
14,15,342.676513670000020,-7.9583302,43.6250000
15,16,339.761413570000000,-7.8750000,43.6250000
16,17,354.915710450000010,-7.7916698,43.6250000
17,18,359.525695799999990,-7.7083302,43.6250000
18,19,348.500396729999980,-7.6250000,43.6250000
19,20,362.235809330000000,-7.5416698,43.6250000
20,21,359.770812990000020,-7.4583302,43.6250000
21,22,349.555908199999980,-7.3750000,43.6250000
22,23,341.356292720000000,-7.2916698,43.6250000
23,24,341.614593510000020,-6.2083302,43.6250000
24,25,358.126007080000020,-5.9583302,43.6250000
25,26,367.653015139999980,-5.8750000,43.6250000
26,27,373.165313719999970,-5.7916698,43.6250000
27,28,314.966003419999990,-8.2916698,43.5416985
28,29,326.231414789999970,-8.2083302,43.5416985
29,30,336.270202639999980,-8.1250000,43.5416985
30,31,343.720886230000020,-8.0416698,43.5416985
31,32,353.524810790000000,-7.9583302,43.5416985
32,33,367.508209229999980,-7.8750000,43.5416985
33,34,379.272705079999980,-7.7916698,43.5416985
34,35,379.030609130000020,-7.7083302,43.5416985
35,36,373.213012699999980,-7.6250000,43.5416985
36,37,387.692108150000020,-7.5416698,43.5416985
37,38,363.607086180000010,-7.4583302,43.5416985
38,39,356.924713129999990,-7.3750000,43.5416985
39,40,353.164611820000000,-7.2916698,43.5416985
40,41,358.154785160000020,-7.2083302,43.5416985
41,42,358.112792969999990,-7.1250000,43.5416985
42,43,351.810394289999980,-7.0416698,43.5416985
43,44,356.004699710000010,-6.9583302,43.5416985
44,45,355.196197509999990,-6.8750000,43.5416985
45,46,359.747589109999980,-6.7916698,43.5416985
46,47,357.094085689999990,-6.7083302,43.5416985
47,48,366.570495610000020,-6.6250000,43.5416985
48,49,356.767089839999980,-6.5416698,43.5416985
49,50,359.139099120000030,-6.4583302,43.5416985
50,51,368.358001710000000,-6.3750000,43.5416985
51,52,370.057586669999980,-6.2916698,43.5416985
52,53,366.488006590000000,-6.2083302,43.5416985
53,54,365.694885250000030,-6.1250000,43.5416985
54,55,367.340087890000010,-6.0416698,43.5416985
55,56,377.370513920000010,-5.9583302,43.5416985
56,57,385.902313230000000,-5.8750000,43.5416985
57,58,388.410186770000000,-5.7916698,43.5416985
58,59,394.390289310000010,-5.7083302,43.5416985
59,60,395.465209959999980,-5.6250000,43.5416985
60,61,398.941314700000020,-5.5416698,43.5416985
61,62,398.719787600000020,-5.4583302,43.5416985
62,63,397.815612789999990,-5.3750000,43.5416985
63,64,402.661499020000010,-5.2916698,43.5416985
64,65,360.924713129999990,-3.6250000,43.5416985
65,66,363.191894530000010,-3.5416701,43.5416985
66,67,443.399414060000030,-1.5416700,43.5416985
67,68,443.118988039999980,-1.4583300,43.5416985
68,69,440.569091800000020,-1.3750000,43.5416985
69,70,438.355499270000000,-1.2916700,43.5416985
70,71,439.418212890000010,-1.2083300,43.5416985
71,72,440.424285890000020,-1.1250000,43.5416985
72,73,442.045684810000010,-1.0416700,43.5416985
73,74,445.604095460000000,-0.9583330,43.5416985
74,75,450.658599849999970,-0.8750000,43.5416985
